"brewery_id","brewery_name","review_time","review_overall","review_aroma","review_appearance","review_profilename","beer_style","review_palate","review_taste","beer_name","beer_abv","beer_beerid","id"
73,"Great Lakes Brewing Company",1184718627,4.5,4,4,"akorsak","Dortmunder / Export Lager",4.5,4,"Great Lakes Dortmunder Gold",5.8,228,28
11174,"Cervecera Mexicana S.A. De C.V.",1261552166,1,1,2,"womencantsail","American Adjunct Lager",2,1,"Ed Hardy Premium Beer",NA,52817,29
1199,"Founders Brewing Company",1188608414,4,4,4,"akorsak","American IPA",4.5,4.5,"Founders Centennial IPA",7.2,5441,30
2641,"New Old Lompoc Brewery",1238372652,4,3.5,4,"ChainGangGuy","American Strong Ale",3.5,3.5,"LSD (Lompoc Strong Draft)",6.9,9700,31
1950,"Court Avenue Brewing Company",1145316423,3.5,3.5,4,"BuckeyeNation","Bière de Garde",3.5,3.5,"Domaine Des Moines",NA,30000,32
10707,"Trader Joe's Brewing Company",1197382290,3,3,3.5,"BuckeyeNation","Märzen / Oktoberfest",3,3,"Josephs Brau Oktoberfest",5.3,33209,33
13014,"Surly Brewing Company",1245806126,4.5,4.5,4,"womencantsail","American IPA",4,4,"Furious",6.2,28203,34
147,"Stone Brewing Co.",1147641483,4,5,4.5,"ChainGangGuy","Russian Imperial Stout",5,5,"Stone Imperial Russian Stout",10.5,1160,35
689,"Two Brothers Brewing Company",1326094188,3.5,3.5,3.5,"womencantsail","Märzen / Oktoberfest",3.5,3.5,"Atom Smasher",7.7,61554,36
694,"Tröegs Brewing Company",1294958347,4.5,3.5,3.5,"womencantsail","American Wild Ale",4,3.5,"Splinter Blue",NA,61894,37
187,"Brouwerij Lindemans",1137208008,4,5,3,"akorsak","Lambic - Fruit",4,4.5,"Lindemans Kriek",4,600,38
826,"Brasserie de l'Abbaye du Val-Dieu",1236981048,4,4,4.5,"BuckeyeNation","Belgian Strong Pale Ale",4.5,4,"Rader Ambrée",10.5,31449,39
4707,"Choc Beer Co. / Pete's Place",1237483486,3,2.5,3,"ChainGangGuy","Witbier",3.5,2.5,"Waving Wheat",5.31,39898,40
428,"Mahrs-Bräu",1312897998,3.5,4,4,"womencantsail","Hefeweizen",4,3.5,"Mahr's Saphir Weiss",5.6,54458,41
183,"Brouwerij Sterkens N.V.",1131495623,3.5,3,3.5,"BuckeyeNation","Dubbel",3.5,3.5,"Sterkens Dubbel Ale",NA,627,42
6045,"Iron Hill Brewery & Restaurant",1311457418,4,3.5,4,"akorsak","Roggenbier",4,4.5,"Roggenbier",NA,38026,43
143,"Spoetzl Brewery",1202308289,2.5,2.5,4,"BuckeyeNation","Dunkelweizen",2.5,3,"Shiner Dunkelweizen",5.4,26654,44
2743,"Green Flash Brewing Co.",1309181401,3.5,3,4,"womencantsail","Belgian Strong Dark Ale",3.5,3,"Grand Mantis - Merlot Barrel Aged Grand Cru",9,50449,45
6045,"Iron Hill Brewery & Restaurant",1304877809,4.5,4.5,4,"akorsak","American Amber / Red Ale",4.5,4.5,"Big Rye Wibby",7.5,68544,46
1177,"Minneapolis Town Hall Brewery",1261803915,4.5,4.5,4.5,"womencantsail","American IPA",4,4,"Masala Mama India Pale Ale",5.9,6368,47
1416,"Uinta Brewing Company",1207624365,3.5,3,3.5,"ChainGangGuy","American Pale Ale (APA)",3.5,3.5,"Angler's Pale Ale",5.8,10573,48
5318,"Port Brewing Company / Pizza Port",1297279199,3.5,4,4,"womencantsail","Irish Dry Stout",3,3,"Where's My Light Saber?",4.1,66083,49
1315,"Klosterbrauerei Weltenburg",1149802801,4,3.5,4,"BuckeyeNation","Dunkelweizen",3.5,3.5,"Weltenburger Hefe-Weissbier Dunkel",5.3,6968,50
365,"Pike Pub & Brewery",1239076556,4.5,4,4,"ChainGangGuy","American Double / Imperial Stout",4.5,4,"Pike Entire - Wood Aged Stout",8,46386,51
13307,"Mikkeller ApS",1204941187,4,4,4,"akorsak","American Double / Imperial Pilsner",4,4.5,"Draft Bear",8,41007,52
10279,"OPA-OPA Steakhouse & Brewery",1204641197,4,4,4,"BuckeyeNation","American IPA",4,4,"Opa Opa IPA",6,20335,53
2711,"BJ's Restaurant & Brewery",1269568809,3.5,3.5,3.5,"womencantsail","Hefeweizen",3.5,3.5,"Harvest Hefeweizen",4.8,57094,54
190,"Brouwerij De Troch",1284094327,3.5,3.5,3.5,"womencantsail","Lambic - Fruit",3.5,4,"Chapeau Exotic",3.5,6988,55
1133,"Capitol City Brewing",1150740107,2,2.5,3,"akorsak","Baltic Porter",2.5,3.5,"Monkey Weizen",NA,31195,56
10902,"Närke Kulturbryggeri AB",1265049690,5,5,4.5,"womencantsail","Russian Imperial Stout",4.5,4.5,"Kaggen! Stormaktsporter",10,42664,57
19476,"Beer Here",1263047845,4.5,4.5,4.5,"BuckeyeNation","Baltic Porter",4.5,4.5,"Mørke - Pumpernickel Porter",7.5,53250,58
811,"Highland Brewing",1133643491,4,4,4,"BuckeyeNation","American Pale Ale (APA)",4,4,"Highland St. Terese's Pale Ale",5.2,4947,59
3521,"De Proefbrouwerij (bvba Andelot)",1139329831,3.5,3.5,4,"BuckeyeNation","Belgian Strong Pale Ale",3.5,3.5,"Bottleworks Van Den Vern Grand Cru",9.8,8445,60
74,"Gritty McDuff's Brewing Company",1169483863,4,4,4.5,"BuckeyeNation","Extra Special / Strong Bitter (ESB)",4,4,"Gritty McDuff's Halloween Ale",6,6005,61
2372,"Terrapin Beer Company",1206919212,4,3.5,4,"ChainGangGuy","American IPA",4,4,"Terrapin Hop Shortage Ale",6.2,41527,62
1199,"Founders Brewing Company",1156891382,5,4.5,4.5,"BuckeyeNation","Russian Imperial Stout",4.5,5,"Founders Imperial Stout",10.5,21822,63
5318,"Port Brewing Company / Pizza Port",1238619900,5,5,4.5,"BuckeyeNation","American Double / Imperial Stout",4,4.5,"Older Viscosity",12,34094,64
1252,"Cervecería y Maltería Quilmes / Grupo Bemberg",1158239043,3.5,3,3.5,"BuckeyeNation","American Adjunct Lager",3,3,"Quilmes",4.9,3637,65
13014,"Surly Brewing Company",1232034724,5,4.5,4.5,"BuckeyeNation","American Double / Imperial IPA",4.5,5,"Abrasive Ale",9,46849,66
694,"Tröegs Brewing Company",1227968822,4.5,4,4.5,"BuckeyeNation","American Barleywine",4,4.5,"Scratch Beer 4 - 2007",9.4,38870,67
12516,"Thirsty Dog Brewing Company",1295267019,4,4,4,"BuckeyeNation","Märzen / Oktoberfest",4,4,"Barktoberfest",6,39118,68
10903,"Oppigårds Bryggeri AB",1204811418,4.5,4,4,"BuckeyeNation","German Pilsener",4.5,4,"Oppigårds Bergsmansöl",5.3,26252,69
147,"Stone Brewing Co.",1240763634,3.5,4,4,"ChainGangGuy","American Amber / Red Ale",4,3.5,"Stone Levitation Ale",4.4,6301,70
1141,"Brasserie Dieu Du Ciel",1311830168,3.5,3.5,4,"womencantsail","American IPA",4,3.5,"Corne Du Diable",6.5,16376,71
130,"Boulder Beer / Wilderness Pub",1173045342,4,4,4,"akorsak","American Double / Imperial IPA",4,3.5,"Mojo Risin' Double IPA",10.5,35246,72
3052,"Hook Norton Brewery Co. Ltd.",1213126598,4.5,4,4,"ChainGangGuy","English Stout",4,4,"Double Stout",4.8,7266,73
17271,"Bootlegger's Brewery",1296370047,3.5,3.5,3.5,"womencantsail","Herbed / Spiced Beer",3.5,3.5,"Lilly's Gingered Ale",NA,65727,74
1471,"Dark Horse Brewing Company",1199032255,4.5,4.5,4.5,"BuckeyeNation","American Strong Ale",4,4.5,"Dark Horse Reserve Special Black Bier Ale",7.5,3877,75
15314,"Skyscraper Brewing Company",1315165918,2,2,3,"womencantsail","American Pale Wheat Ale",2.5,2,"Bulldozer Honeyweizen",5,37652,76
392,"Weyerbacher Brewing Co.",1110558588,4,4.5,3.5,"BuckeyeNation","Tripel",4,4,"Merry Monks' Ale",9.3,6073,77
433,"Molson Coors Canada",1173618957,2.5,3,3.5,"BuckeyeNation","American Malt Liquor",3,3,"Molson XXX",7.3,3829,78
16843,"Hangar 24 Brewery",1283501794,3,3,3,"womencantsail","American Pale Wheat Ale",3.5,3,"Orange Wheat",4.6,41729,79
1805,"Rock Art Brewery",1191622014,2.5,3,3.5,"ChainGangGuy","Maibock / Helles Bock",2.5,2.5,"Hell's Bock",8,35150,80
17287,"Wedge Brewing Company",1260200634,4,3.5,4,"BuckeyeNation","Saison / Farmhouse Ale",3,3.5,"Super Saison",8.3,47821,81
4146,"Karl Strauss Brewing Company",1316637008,3,3.5,3.5,"womencantsail","Flanders Red Ale",3.5,3.5,"Flan-Diddly-Anders Red",5.5,63919,82
1628,"Southampton Publick House",1180914294,3.5,4,3.5,"akorsak","Witbier",4,3.5,"Double White Ale",6.7,9755,83
739,"Brouwerij De Ranke",1250544043,3.5,4,4.5,"BuckeyeNation","Tripel",3.5,3.5,"De Ranke Guldenberg",8.5,3442,84
793,"Lake Louie Brewery Company",1164899597,4,4,4,"BuckeyeNation","American IPA",3,4,"Kiss The Lips IPA",NA,32932,85
15979,"Olde Richmond Beer Company",1212514015,3,3,4,"ChainGangGuy","American Brown Ale",3,3.5,"Olde Richmond Batch No. 4 Brown Ale",NA,36411,86
3052,"Hook Norton Brewery Co. Ltd.",1223990582,4,3,4,"BuckeyeNation","English Bitter",4,3.5,"Hooky  Bitter",3.6,35153,87
6372,"Fort Collins Brewing",1203006233,3.5,3.5,3.5,"BuckeyeNation","Winter Warmer",4,3.5,"Big Shot",6.5,27262,88
741,"Lakefront Brewery, Inc.",1159277616,2.5,2.5,3.5,"BuckeyeNation","Fruit / Vegetable Beer",3,2.5,"Cherry Lager",5.5,8639,89
741,"Lakefront Brewery, Inc.",1315107171,3.5,3,4,"womencantsail","Fruit / Vegetable Beer",4,3,"Pumpkin Lager Beer",6,6412,90
6045,"Iron Hill Brewery & Restaurant",1236346296,4,4,4,"akorsak","American Stout",4,4.5,"Oompa Loompa Stout",6,47988,91
15324,"Five Seasons North",1188782778,4,3.5,4,"ChainGangGuy","English Dark Mild Ale",4,3.5,"AK-47 Mild Ale",3.9,38476,92
16589,"Spring House Brewing Company",1302380437,4,4,4,"akorsak","American Porter",4,4,"Lumber Jack Bacon Maple Porter",8,67739,93
14064,"Kern River Brewing Company",1281288961,5,4.5,4.5,"womencantsail","American Double / Imperial IPA",4.5,5,"Citra DIPA",8,56082,94
192,"New Belgium Brewing",1317602343,3.5,4,4,"womencantsail","Belgian IPA",3.5,3.5,"Lips Of Faith - BELGO Belgian India Pale Ale",7,59811,95
30,"Avery Brewing Company",1191039295,3.5,3.5,4,"ChainGangGuy","Belgian Pale Ale",3.5,3,"Karma",5.2,23042,96
11207,"Maui Brewing Co. (Brewpub)",1303340117,3.5,3.5,4,"womencantsail","Russian Imperial Stout",4,3.5,"KGB Russian Imperial Stout (Bourbon Barrels)",9.8,67857,97
143,"Spoetzl Brewery",1302744101,2.5,3,3.5,"ChainGangGuy","American Pale Wheat Ale",3.5,2.5,"Shiner 102 Double Wheat",6.2,65524,98
12224,"Rinkuškiai Alaus Darykloje",1220321430,3,2.5,3.5,"ChainGangGuy","Euro Pale Lager",3,3,"Gedimino",4.8,43514,99
158,"Great Divide Brewing Company",1271617286,4,4.5,4,"akorsak","American Double / Imperial Stout",4.5,4,"Espresso Oak Aged Yeti Imperial Stout",9.5,42723,100
827,"Brouwerij De Bie / D'Hellekappelle",1194446523,3,3,3,"BuckeyeNation","Belgian Pale Ale",3,3,"Hellekapelle",5,2578,101
8,"Widmer Brothers Brewing Company",1231909922,3.5,3,4,"ChainGangGuy","American Pale Wheat Ale",3,3.5,"Widmer Hefeweizen",4.9,17,102
684,"Fish Brewing Company / Fishbowl Brewpub",1144529307,3.5,3.5,3.5,"BuckeyeNation","American Blonde Ale",3.5,3.5,"Fish Tale Organic Blonde Ale",4,24952,103
7753,"Olde Hickory Brewery",1287670596,3,3,3.5,"ChainGangGuy","American Stout",3.5,3,"Hickory Stick Stout",5.8,32896,104
694,"Tröegs Brewing Company",1301003322,3,3.5,3.5,"womencantsail","Hefeweizen",3.5,3.5,"DreamWeaver Wheat",4.8,18305,105
8,"Widmer Brothers Brewing Company",1275316452,4,3,3.5,"BuckeyeNation","Doppelbock",4,4,"Cherry Oak Doppelbock (Brothers' Reserve Series)",9,52848,106
24813,"Beverly Hills Beerhouse Company",1296890784,3,3,3,"womencantsail","Fruit / Vegetable Beer",3.5,3,"Beverly Hills Beerhouse Harvest Ale",5.4,65947,107
123,"Paper City Brewery Co., Inc.",1096667589,4.5,4.5,4.5,"BuckeyeNation","American Double / Imperial IPA",4.5,4.5,"Hop Monster",9.5,6889,108
19402,"Inland Empire Brewing Company",1311640160,3.5,3,4,"womencantsail","American Wild Ale",4,3,"Sour",NA,70182,109
3120,"Alpine Beer Company",1185975525,4.5,3.5,4,"BuckeyeNation","Irish Red Ale",4,4,"McIlhenney's Irish Red",6,7605,110
158,"Great Divide Brewing Company",1257777010,4.5,4.5,4,"BuckeyeNation","Witbier",4,4,"Double Wit",8.1,50184,111
417,"August Schell Brewing Company",1274184523,4,3.5,3.5,"BuckeyeNation","American Amber / Red Lager",3.5,3.5,"Grain Belt Nordeast",4.7,57402,112
1170,"Upland Brewing Company",1287748949,3.5,4,3.5,"BuckeyeNation","Märzen / Oktoberfest",3,3.5,"Oktoberfest",6.8,6405,113
9897,"Jolly Pumpkin Artisan Ales",1309046083,4.5,4,4.5,"womencantsail","Bière de Garde",4,4,"Oro De Calabaza",8,18975,114
30,"Avery Brewing Company",1189990267,3.5,3.5,3.5,"akorsak","Belgian Strong Pale Ale",3.5,4,"Salvation",9,4072,115
10991,"Christian Moerlein Brewing Company",1249854721,3,3,3,"ChainGangGuy","Munich Helles Lager",3,3,"Christian Moerlein Lager House Original Golden Helles",5.2,43881,116
192,"New Belgium Brewing",1273893439,3.5,3.5,3,"ChainGangGuy","American Blonde Ale",4,3.5,"Skinny Dip",4.2,29675,117
3818,"Southern Tier Brewing Company",1194366417,3.5,4,4,"BuckeyeNation","American Double / Imperial IPA",4,4,"Hoppe (Imperial Extra Pale Ale)",8,36179,118
10673,"Warbird Brewing Company",1199976741,3.5,3,4,"BuckeyeNation","American Pale Ale (APA)",4,3.5,"Warhawk Pale Ale",7.3,36418,119
1125,"Yellowstone Valley Brewing Co.",1191622781,2.5,2,2.5,"ChainGangGuy","American Pale Wheat Ale",3,2,"Grizzly Wulff Wheat",NA,4789,120
100,"McNeill's Brewery",1295216574,4,4,4,"akorsak","English India Pale Ale (IPA)",4,4,"McNeill's Dead Horse IPA",5.7,1884,121
3091,"Frederic Robinson Limited",1134345333,3.5,4,3.5,"BuckeyeNation","English Barleywine",2.5,3.5,"Old Tom",8.5,8038,122
9877,"Rush River Brewing Company",1297573099,4,4,4,"womencantsail","American Double / Imperial IPA",4,3.5,"Double Bubble",9.2,50218,123
158,"Great Divide Brewing Company",1144617277,3.5,3.5,4,"akorsak","American Double / Imperial IPA",3.5,4,"Hercules Double IPA",10,17060,124
39,"Privatbrauerei Franz Inselkammer KG / Brauerei Aying",1291600594,3.5,3.5,4,"womencantsail","Dunkelweizen",4,4,"Ayinger Ur-Weisse",5.8,135,125
2372,"Terrapin Beer Company",1289426249,4,3.5,4.5,"ChainGangGuy","Milk / Sweet Stout",4.5,4.5,"Terrapin Moo-Hoo Chocolate Milk Stout",6,62984,126
396,"AleSmith Brewing Company",1283839478,4.5,4.5,4,"womencantsail","American Porter",4,4.5,"AleSmith Decadence 2007 Imperial Porter",10,41926,127
18968,"Appalachian Brewing Company",1150652010,4,4,4,"akorsak","American Stout",3.5,4,"Susquehanna Stout",4.6,7431,128
14879,"Hoppin' Frog Brewery",1209945857,4.5,4,3.5,"ChainGangGuy","Russian Imperial Stout",4.5,4.5,"B.O.R.I.S. The Crusher Oatmeal-Imperial Stout",9.4,33644,129
22,"Unibroue",1144458519,2.5,4,3,"BuckeyeNation","Fruit / Vegetable Beer",3,2.5,"Éphémère (Cassis / Black Currant)",5.5,14733,130
392,"Weyerbacher Brewing Co.",1175452156,4,4.5,4,"akorsak","American Double / Imperial IPA",4.5,4.5,"Double Simcoe IPA",9,30288,131
9897,"Jolly Pumpkin Artisan Ales",1241908603,3.5,4,4.5,"ChainGangGuy","American Wild Ale",3.5,4,"La Roja",7.2,19314,132
132,"Rogue Ales",1084052271,4,4,4,"BuckeyeNation","Herbed / Spiced Beer",3.5,3.5,"Juniper Pale Ale",5.3,702,133
13307,"Mikkeller ApS",1279828128,1,1,1,"womencantsail","Russian Imperial Stout",1,1,"Black Hole (Peat Whiskey Edition)",13.1,58507,134
467,"Summit Brewing Company",1098456576,3.5,3.5,3.5,"BuckeyeNation","English Pale Ale",3.5,3.5,"Summit Extra Pale Ale",5.3,1374,135
192,"New Belgium Brewing",1198441677,3,3.5,4,"ChainGangGuy","Fruit / Vegetable Beer",3.5,3,"Frambozen Raspberry Brown Ale",6.5,1910,136
741,"Lakefront Brewery, Inc.",1305659963,4.5,4,4.5,"ChainGangGuy","American Amber / Red Ale",4.5,4,"Fixed Gear",6.5,56386,137
590,"New Glarus Brewing Company",1153230977,3.5,3.5,4,"BuckeyeNation","German Pilsener",3.5,3.5,"Edel-Pils",5.3,3325,138
263,"Brauerei Heller-Trum / Schlenkerla",1186186053,4.5,4,4,"akorsak","Munich Helles Lager",4.5,4,"Aecht Schlenkerla Helles Lagerbier",4.3,29145,139
31,"Brauerei Pinkus Mueller",1099934484,3.5,3.5,3.5,"BuckeyeNation","Hefeweizen",3.5,3.5,"Organic Hefe-Weizen",5.1,82,140
4555,"Tustin Brewing Company",1296974034,3,3,3.5,"womencantsail","American Double / Imperial IPA",3.5,3,"Jackson's Double IPA Double Dry Hopped (Sterling)",7.5,65941,141
1549,"Goose Island Beer Co.",1292534989,4,4.5,4.5,"akorsak","American Double / Imperial Stout",4.5,4.5,"Bourbon County Brand Vanilla Stout",13,53980,142
601,"Obolon Brewery",1169647681,3,4,3.5,"BuckeyeNation","Hefeweizen",2.5,3,"Obolon Pshenichnoye",5,13425,143
35,"Boston Beer Company (Samuel Adams)",1316117995,3.5,4,4,"ChainGangGuy","Rauchbier",3,3.5,"Samuel Adams Bonfire Rauchbier",5.7,71758,144
99,"Matt Brewing Company",1193013054,3.5,3,3,"ChainGangGuy","Märzen / Oktoberfest",3.5,2.5,"Saranac Octoberfest",5.4,1522,145
20017,"Five Seasons Westside",1319557685,4,3.5,3,"ChainGangGuy","American IPA",4,4,"Fresh Hop Ale",NA,73760,146
435,"Minhas Craft Brewery",1187811134,3,2.5,3,"ChainGangGuy","Witbier",2.5,2.5,"Berghoff Solstice Wit Beer",NA,17380,147
6045,"Iron Hill Brewery & Restaurant",1325196200,4,4,4,"akorsak","American Brown Ale",4,4,"Sorachisaurus",6.2,76824,148
42,"Brewery Ommegang",1217814167,4.5,4,4,"akorsak","American Wild Ale",4.5,4.5,"Sour Hopped Ale",NA,44129,149
48,"Brouwerij Van Steenberge N.V.",1234668230,3.5,3.5,4.5,"ChainGangGuy","Belgian IPA",4,3.5,"Piraat Ale",10.5,156,150
113,"Samuel Smith Old Brewery (Tadcaster)",1175570904,4,3.5,3.5,"ChainGangGuy","Oatmeal Stout",4,3.5,"Samuel Smith's Oatmeal Stout",5,571,151
495,"Saxer Brewing Company / Nor'Wester Beer Company",1086390033,1.5,1.5,2,"BuckeyeNation","Fruit / Vegetable Beer",2,1.5,"Saxer's Lemon Lager",NA,4284,152
691,"Blackstone Restaurant & Brewery",1180391063,4.5,2.5,3.5,"akorsak","English Brown Ale",4.5,4.5,"Blackstone Nut Brown Ale",5.6,1989,153
18149,"The Lost Abbey",1223236477,3.5,3.5,3,"akorsak","Bière de Garde",4,3.5,"Gift Of The Magi",10,37198,154
392,"Weyerbacher Brewing Co.",1197855369,4,4,4,"akorsak","Russian Imperial Stout",4.5,4,"Heresy",8,18198,155
5318,"Port Brewing Company / Pizza Port",1298418289,4,4,4,"womencantsail","American Strong Ale",4,4,"I-5 Imperial Brown Ale",NA,65494,156
1880,"Empyrean Brewing Company",1289999594,4,4,3.5,"BuckeyeNation","Witbier",4,4,"Better World Wheat",4.3,42551,157
8818,"Dale Bros. Brewery",1302998758,2.5,3.5,4,"womencantsail","Maibock / Helles Bock",4,2.5,"Heller Than Thou",8.75,68167,158
1141,"Brasserie Dieu Du Ciel",1224681046,1.5,3.5,4,"BuckeyeNation","Rye Beer",3.5,2,"Route Des Épices (Ale Rousse Au Poivre)",5,10331,159
3599,"Baird Brewing Company / Fishmarket Taproom",1276007066,4.5,4,4,"BuckeyeNation","Russian Imperial Stout",4,4,"Dark Sky Imperial Stout",9,24536,160
1177,"Minneapolis Town Hall Brewery",1297463373,4,3,3.5,"womencantsail","American Pale Ale (APA)",3.5,3.5,"Grinch's Grog",5.4,46636,161
14177,"Walldorff Brewpub and Bistro",1297570275,3,4,4,"womencantsail","English Barleywine",4,3.5,"Sofa Kingdom Barley Wine",11.1,66223,162
2113,"Raccoon River Brewing Company",1141090065,4,3.5,4,"BuckeyeNation","Rye Beer",4,3.5,"Ringed Tail Rye",NA,5473,163
3818,"Southern Tier Brewing Company",1101940766,4.5,4,4,"BuckeyeNation","American Porter",4,4,"Porter",5.2,10433,164
103,"Middle Ages Brewing Co., Ltd.",1109340599,4.5,4,4,"BuckeyeNation","English India Pale Ale (IPA)",4,4,"ImPaled Ale",6.5,331,165
3268,"O'Fallon Brewery",1156276736,3.5,3.5,3.5,"BuckeyeNation","American Blonde Ale",3.5,3.5,"Gold",4.9,7673,166
1199,"Founders Brewing Company",1261576357,4.5,4,4.5,"BuckeyeNation","American IPA",4,4,"Founders Harvest Ale",6.5,20478,167
743,"Lancaster Brewing Company",1145928437,4,4,3.5,"akorsak","Fruit / Vegetable Beer",4,3.5,"Strawberry Wheat Beer",4.9,7932,168
3620,"Tuppers' Hop Pocket Brewing Company",1293218167,3.5,4,4,"ChainGangGuy","Keller Bier / Zwickel Bier",4,3.5,"Tuppers' Hop Pocket Pils (Keller Pils)",5,1191,169
1549,"Goose Island Beer Co.",1272867630,4,4,4.5,"womencantsail","American Double / Imperial Stout",4.5,4,"Night Stalker",11.7,47692,170
6045,"Iron Hill Brewery & Restaurant",1319315341,3.5,4,3.5,"akorsak","American IPA",4,3.5,"Rising Sun",7.5,59858,171
73,"Great Lakes Brewing Company",1326011766,3.5,3.5,4,"womencantsail","Winter Warmer",4,4,"Great Lakes Christmas Ale",7.5,1576,172
21092,"World Brews",1250973269,2,2.5,3,"ChainGangGuy","American Pale Lager",3,2,"Tap Room No. 21 Lager",4.5,68386,173
5318,"Port Brewing Company / Pizza Port",1303255495,4,3.5,4,"womencantsail","Foreign / Export Stout",4,4,"Port Truck Stout",4.5,28164,174
6045,"Iron Hill Brewery & Restaurant",1262391272,3.5,4,4,"akorsak","Rauchbier",4,3.5,"Rauchbier",3.8,45316,175
16866,"The Bruery",1260308641,3.5,4,4,"BuckeyeNation","Quadrupel (Quad)",3,3.5,"Partridge In A Pear Tree",11,46418,176
688,"Coastal Extreme Brewing Co.",1240165979,4,4.5,4,"akorsak","American Barleywine",4.5,4.5,"Newport Storm '02",12.7,6995,177
1114,"Bullfrog Brewery",1299851839,3.5,4,3.5,"akorsak","Quadrupel (Quad)",4,3.5,"Houblonius Maximus",NA,67076,178
10097,"Harpoon Brewery",1276713200,4,4,4,"womencantsail","American Amber / Red Ale",4.5,4,"Harpoon Leviathan - Imperial Red Ale",9.2,56153,179
16354,"COAST Brewing Company",1239042196,4.5,4,4.5,"ChainGangGuy","Russian Imperial Stout",4.5,4.5,"Blackbeerd Imperial Stout, Jack Daniels Barrel Aged",9.3,48159,180
